rank,categoryRank,brandNameJapanese,website,absoluteGrowthRate,compoundAnnualGrowthRate,Revenue2020,foundingYear,prefecture
79,3,株式会社WACUL,https://wacul.co.jp/,179.5%,40.9%,712016000 ,2010,東京都
80,1,株式会社エリモロジスティクス,http://www.erimologi.com,176.0%,40.3%,1812126707 ,2015,大阪府
81,2,グッドコムアセット,https://www.goodcomasset.co.jp,170.6%,39.3%,25921225783 ,2005,東京都
82,2,株式会社エスポリア,https://espoirer.com,169.8%,39.2%,615138822 ,2015,東京都
83,22,ブレインズテクノロジー,https://www.brains-tech.co.jp,166.7%,38.7%,631597331 ,2008,東京都
84,1,リニューアブル・ジャパン,https://www.rn-j.com/,164.9%,38.4%,22276045905 ,2012,東京都
85,1,ユーコンスカイ,https://www.nuno-omutsu.jp,162.4%,37.9%,2110967000 ,2003,兵庫県
86,7,巖本商事株式会社,https://www.iwamotoshoji.jp/,160.9%,37.7%,2751573183 ,2006,京都府
87,1,株式会社シリウス,https://www.sirius-agent.co.jp,160.0%,37.5%,1167938292 ,2008,東京都
88,4,ＴＯＳＹＯ株式会社,https://www.tosyo.co.jp/,159.5%,37.4%,380600000 ,2010,埼玉県
89,7,リックソフト株式会社,https://www.ricksoft.jp,154.9%,36.6%,4363516000 ,2005,東京都
90,5,株式会社ブライタス,https://bright-us.co.jp/,153.2%,36.3%,221003995 ,2017,愛知県
91,4,"CB, Ltd",https://www.live-link.life,151.8%,36.0%,961697338 ,2015,東京都
92,5,キッズ・パワー株式会社,https://kidspower.co.jp,150.3%,35.8%,281596000 ,2015,千葉県
93,3,株式会社エイスリー,https://www.a3corp.jp/,150.1%,35.7%,1466121809 ,2008,東京都
94,6,株式会社ガーネット,https://www.garnet-kyoto.co.jp,150.0%,35.7%,2869380928 ,2009,京都府
95,1,Suprieve Holding株式会社,https://suprieve.com/,149.4%,35.6%,4863673398 ,2005,大阪府
96,1,株式会社ミンカブ・ジ・インフォノイド,https://minkabu.co.jp/,147.4%,35.2%,4158862727 ,2006,東京都
97,14,株式会社よろず屋不動産,http://www.yorozuya-co.jp,144.9%,34.8%,150809379 ,2014,神奈川県
