T_Key,label,attribute,sex,x,y,cluster
1676,松坂桃李,俳優,M,77.5,75.8,今旬
1681,濱田岳,俳優,M,70.9,72.6,今旬
1687,高良健吾,俳優,M,45.2,73.4,注目
1688,八乙女光（Hey! Say! JUMP）,俳優,M,52.3,68.2,
1692,中村七之助,俳優,M,36.8,72.3,NEXTブレイク
1694,金子ノブアキ,俳優,M,36.2,67.6,注目
1697,井浦新（ARATA）,俳優,M,45.6,75.5,注目
1699,三浦貴大,俳優,M,35.4,69.7,NEXTブレイク
1707,菅田将暉,俳優,M,82.6,74.5,今旬
1708,鹿賀丈史,俳優,M,50.4,61.4,注目
1717,芦田愛菜,俳優,F,82.9,73.1,今旬
1719,遠藤久美子,俳優,F,48.5,60.7,
1721,広瀬アリス,俳優,F,81.5,78.7,今旬
1723,武井咲,俳優,F,78.5,65.9,今旬
1724,山下リオ,俳優,F,16.5,76.4,NEXTブレイク
1727,夏菜,俳優,F,59.3,64.3,注目
1728,福原遥,俳優,F,47.5,76.9,注目
1735,羽田美智子,俳優,F,52.6,73.9,注目
1736,賀来千香子,俳優,F,58.2,69.2,注目
1738,川口春奈,俳優,F,72.5,75.3,今旬
1743,トリンドル玲奈,タレント,F,69.3,64.2,大御所＆安定
1757,ジャングルポケット,お笑いタレント,M,62,72.3,注目
1760,ふかわりょう,お笑いタレント,M,76.3,54.8,大御所＆安定
1763,秦基博,歌手・ミュージシャン,M,56.4,70.8,注目
1764,SEKAI NO OWARI,歌手・ミュージシャン,M,61.5,71.5,
1766,miwa,歌手・ミュージシャン,F,49,56.8,注目
1768,SKE48,歌手・ミュージシャン,F,22.5,63.6,該当なし
1776,アンジュルム,歌手・ミュージシャン,F,9.9,73.4,NEXTブレイク
1784,赤江珠緒,キャスター,F,42.9,65.9,注目
1787,長友佑都,現役スポーツ選手,M,70.2,62.6,今旬
1792,坂本勇人,現役スポーツ選手,M,52.6,67.7,注目
1799,錦織圭,現役スポーツ選手,M,82.2,64.7,今旬
